Hora,Produccion_kWh,Consum_kWh
2023-01-01 00:00:00,0.0,2.54
2023-01-01 01:00:00,0.0,2.14
2023-01-01 02:00:00,0.0,1.96
2023-01-01 03:00:00,0.0,2.01
2023-01-01 04:00:00,0.0,2.06
2023-01-01 05:00:00,0.0,1.85
2023-01-01 06:00:00,0.0,1.69
2023-01-01 07:00:00,1.89,3.21
2023-01-01 08:00:00,6.57,6.21
2023-01-01 09:00:00,15.8,6.97
2023-01-01 10:00:00,27.82,4.73
2023-01-01 11:00:00,38.89,2.28
2023-01-01 12:00:00,44.08,2.28
2023-01-01 13:00:00,41.54,2.88
2023-01-01 14:00:00,31.72,3.06
2023-01-01 15:00:00,18.1,2.62
2023-01-01 16:00:00,6.74,2.21
2023-01-01 17:00:00,0.8,2.35
2023-01-01 18:00:00,0.0,2.6
2023-01-01 19:00:00,0.06,2.8
2023-01-01 20:00:00,0.18,2.96
2023-01-01 21:00:00,0.0,2.95
2023-01-01 22:00:00,0.0,2.71
2023-01-01 23:00:00,0.0,2.42
2023-01-02 00:00:00,0.0,1.88
2023-01-02 01:00:00,0.0,1.95
2023-01-02 02:00:00,0.0,1.9
2023-01-02 03:00:00,0.0,1.98
2023-01-02 04:00:00,0.0,2.09
2023-01-02 05:00:00,0.0,1.87
2023-01-02 06:00:00,0.0,1.47
2023-01-02 07:00:00,3.74,2.68
2023-01-02 08:00:00,14.26,5.71
2023-01-02 09:00:00,30.11,7.57
2023-01-02 10:00:00,42.96,6.11
2023-01-02 11:00:00,46.51,3.06
2023-01-02 12:00:00,41.75,2.08
2023-01-02 13:00:00,32.61,1.76
2023-01-02 14:00:00,20.92,1.8
2023-01-02 15:00:00,9.94,1.99
2023-01-02 16:00:00,2.48,2.35
2023-01-02 17:00:00,0.1,2.86
2023-01-02 18:00:00,0.0,3.2
2023-01-02 19:00:00,0.01,3.35
2023-01-02 20:00:00,0.05,3.31
2023-01-02 21:00:00,0.0,3.08
2023-01-02 22:00:00,0.0,2.68
2023-01-02 23:00:00,0.0,2.27
2023-01-03 00:00:00,0.0,1.94
2023-01-03 01:00:00,0.0,1.81
2023-01-03 02:00:00,0.0,1.65
2023-01-03 03:00:00,0.0,1.5
2023-01-03 04:00:00,0.0,1.41
2023-01-03 05:00:00,0.0,1.43
2023-01-03 06:00:00,0.0,1.58
2023-01-03 07:00:00,3.96,1.98
2023-01-03 08:00:00,10.66,2.96
2023-01-03 09:00:00,20.61,4.43
2023-01-03 10:00:00,30.7,4.66
2023-01-03 11:00:00,37.06,3.63
2023-01-03 12:00:00,38.45,2.85
2023-01-03 13:00:00,35.64,2.76
2023-01-03 14:00:00,28.86,2.96
2023-01-03 15:00:00,17.9,2.86
2023-01-03 16:00:00,7.86,2.46
2023-01-03 17:00:00,1.34,2.84
2023-01-03 18:00:00,0.0,3.31
2023-01-03 19:00:00,0.0,3.54
2023-01-03 20:00:00,0.0,3.56
2023-01-03 21:00:00,0.0,3.35
2023-01-03 22:00:00,0.0,2.93
2023-01-03 23:00:00,0.0,2.48
2023-01-04 00:00:00,0.0,2.08
2023-01-04 01:00:00,0.0,1.93
2023-01-04 02:00:00,0.0,1.82
2023-01-04 03:00:00,0.0,1.71
2023-01-04 04:00:00,0.0,1.63
2023-01-04 05:00:00,0.0,1.62
2023-01-04 06:00:00,0.0,1.76
2023-01-04 07:00:00,3.87,2.27
2023-01-04 08:00:00,10.97,3.58
2023-01-04 09:00:00,22.07,4.58
2023-01-04 10:00:00,33.96,4.15
2023-01-04 11:00:00,42.52,3.11
2023-01-04 12:00:00,45.68,2.5
2023-01-04 13:00:00,43.06,2.24
2023-01-04 14:00:00,34.08,2.13
2023-01-04 15:00:00,20.53,2.03
2023-01-04 16:00:00,8.46,1.96
2023-01-04 17:00:00,1.5,2.38
2023-01-04 18:00:00,0.0,2.87
2023-01-04 19:00:00,0.0,2.99
2023-01-04 20:00:00,0.0,2.87
2023-01-04 21:00:00,0.0,2.67
2023-01-04 22:00:00,0.0,2.48
2023-01-04 23:00:00,0.0,2.33
2023-01-05 00:00:00,0.0,2.19
2023-01-05 01:00:00,0.0,2.08
2023-01-05 02:00:00,0.0,2.01
2023-01-05 03:00:00,0.0,1.98
2023-01-05 04:00:00,0.0,1.98
2023-01-05 05:00:00,0.0,2.04
2023-01-05 06:00:00,0.0,2.19
2023-01-05 07:00:00,2.49,2.45
2023-01-05 08:00:00,8.43,2.8
2023-01-05 09:00:00,17.83,3.07
2023-01-05 10:00:00,28.94,2.95
2023-01-05 11:00:00,38.28,2.7
2023-01-05 12:00:00,43.08,2.39
2023-01-05 13:00:00,40.89,2.0
2023-01-05 14:00:00,31.1,1.7
2023-01-05 15:00:00,17.49,1.63
2023-01-05 16:00:00,6.42,1.85
2023-01-05 17:00:00,1.03,2.37
2023-01-05 18:00:00,0.31,2.68
2023-01-05 19:00:00,0.43,2.81
2023-01-05 20:00:00,0.52,2.81
2023-01-05 21:00:00,0.0,2.69
2023-01-05 22:00:00,0.0,2.53
2023-01-05 23:00:00,0.0,2.37
2023-01-06 00:00:00,0.0,2.37
2023-01-06 01:00:00,0.0,2.13
2023-01-06 02:00:00,0.0,2.08
2023-01-06 03:00:00,0.0,2.04
2023-01-06 04:00:00,0.0,1.98
2023-01-06 05:00:00,0.0,1.93
2023-01-06 06:00:00,0.0,1.95
2023-01-06 07:00:00,3.87,2.0
2023-01-06 08:00:00,11.87,2.05
2023-01-06 09:00:00,23.89,2.13
2023-01-06 10:00:00,35.75,2.32
2023-01-06 11:00:00,43.53,2.32
2023-01-06 12:00:00,45.35,2.2
2023-01-06 13:00:00,40.95,2.1
2023-01-06 14:00:00,30.54,2.02
2023-01-06 15:00:00,17.0,1.9
2023-01-06 16:00:00,6.12,1.9
2023-01-06 17:00:00,0.77,2.2
2023-01-06 18:00:00,0.0,2.42
2023-01-06 19:00:00,0.0,2.54
2023-01-06 20:00:00,0.0,2.61
2023-01-06 21:00:00,0.0,2.61
2023-01-06 22:00:00,0.0,2.56
2023-01-06 23:00:00,0.0,2.49
2023-01-07 00:00:00,0.0,2.19
2023-01-07 01:00:00,0.0,2.17
2023-01-07 02:00:00,0.0,2.14
2023-01-07 03:00:00,0.0,2.12
2023-01-07 04:00:00,0.0,2.13
2023-01-07 05:00:00,0.0,2.07
2023-01-07 06:00:00,0.0,1.88
2023-01-07 07:00:00,3.04,1.71
2023-01-07 08:00:00,10.27,1.61
2023-01-07 09:00:00,21.89,1.43
2023-01-07 10:00:00,33.77,1.75
2023-01-07 11:00:00,41.61,2.0
2023-01-07 12:00:00,43.58,2.04
2023-01-07 13:00:00,40.08,1.98
2023-01-07 14:00:00,30.8,1.88
2023-01-07 15:00:00,17.87,1.7
2023-01-07 16:00:00,6.84,1.63
2023-01-07 17:00:00,1.04,2.0
2023-01-07 18:00:00,0.03,2.3
2023-01-07 19:00:00,0.07,2.55
2023-01-07 20:00:00,0.2,2.69
2023-01-07 21:00:00,0.0,2.68
2023-01-07 22:00:00,0.0,2.55
2023-01-07 23:00:00,0.0,2.37
2023-01-08 00:00:00,0.0,2.27
2023-01-08 01:00:00,0.0,2.2
2023-01-08 02:00:00,0.0,2.21
2023-01-08 03:00:00,0.0,2.13
2023-01-08 04:00:00,0.0,1.77
2023-01-08 05:00:00,0.0,1.43
2023-01-08 06:00:00,0.0,2.15
2023-01-08 07:00:00,1.38,5.22
2023-01-08 08:00:00,5.75,9.96
2023-01-08 09:00:00,12.9,13.29
2023-01-08 10:00:00,19.48,13.72
2023-01-08 11:00:00,23.9,12.49
2023-01-08 12:00:00,25.23,12.29
2023-01-08 13:00:00,23.72,12.85
2023-01-08 14:00:00,18.2,12.16
2023-01-08 15:00:00,10.14,9.93
2023-01-08 16:00:00,3.71,6.9
2023-01-08 17:00:00,0.54,5.38
2023-01-08 18:00:00,0.26,5.25
2023-01-08 19:00:00,0.47,4.93
2023-01-08 20:00:00,0.6,4.56
2023-01-08 21:00:00,0.0,4.32
2023-01-08 22:00:00,0.0,4.07
2023-01-08 23:00:00,0.0,3.6
2023-01-09 00:00:00,0.0,2.76
2023-01-09 01:00:00,0.0,2.21
2023-01-09 02:00:00,0.0,2.05
2023-01-09 03:00:00,0.0,2.1
2023-01-09 04:00:00,0.0,2.17
2023-01-09 05:00:00,0.0,1.91
2023-01-09 06:00:00,0.0,1.38
2023-01-09 07:00:00,2.78,3.31
2023-01-09 08:00:00,11.09,9.82
2023-01-09 09:00:00,23.52,14.16
2023-01-09 10:00:00,37.4,13.33
2023-01-09 11:00:00,46.27,12.34
2023-01-09 12:00:00,48.81,12.07
2023-01-09 13:00:00,42.61,13.69
2023-01-09 14:00:00,31.64,12.82
2023-01-09 15:00:00,17.91,9.14
2023-01-09 16:00:00,7.68,5.59
2023-01-09 17:00:00,1.67,5.14
2023-01-09 18:00:00,0.54,4.98
2023-01-09 19:00:00,0.44,4.65
2023-01-09 20:00:00,0.44,4.38
2023-01-09 21:00:00,0.0,4.17
