Hora,Produccion_kWh,Consum_kWh
2023-01-01 00:00:00,0.0,4.1
2023-01-01 01:00:00,0.0,4.29
2023-01-01 02:00:00,0.0,4.24
2023-01-01 03:00:00,0.0,3.92
2023-01-01 04:00:00,0.0,3.66
2023-01-01 05:00:00,0.0,3.27
2023-01-01 06:00:00,0.0,2.6
2023-01-01 07:00:00,0.3,3.67
2023-01-01 08:00:00,3.2,3.14
2023-01-01 09:00:00,9.42,2.5
2023-01-01 10:00:00,17.3,2.47
2023-01-01 11:00:00,22.6,2.02
2023-01-01 12:00:00,23.09,1.65
2023-01-01 13:00:00,18.88,1.16
2023-01-01 14:00:00,11.89,0.3
2023-01-01 15:00:00,5.25,0.43
2023-01-01 16:00:00,1.43,1.05
2023-01-01 17:00:00,0.37,1.56
2023-01-01 18:00:00,0.37,1.65
2023-01-01 19:00:00,0.22,1.35
2023-01-01 20:00:00,0.07,1.33
2023-01-01 21:00:00,0.0,1.52
2023-01-01 22:00:00,0.0,1.68
2023-01-01 23:00:00,0.0,1.78
2023-01-02 00:00:00,0.0,1.28
2023-01-02 01:00:00,0.0,1.83
2023-01-02 02:00:00,0.0,2.38
2023-01-02 03:00:00,0.0,3.2
2023-01-02 04:00:00,0.0,3.55
2023-01-02 05:00:00,0.0,2.97
2023-01-02 06:00:00,0.0,3.31
2023-01-02 07:00:00,3.6,5.8
2023-01-02 08:00:00,8.56,5.43
2023-01-02 09:00:00,15.58,5.23
2023-01-02 10:00:00,21.45,4.56
2023-01-02 11:00:00,24.65,4.24
2023-01-02 12:00:00,24.62,4.14
2023-01-02 13:00:00,21.69,4.29
2023-01-02 14:00:00,16.45,4.04
2023-01-02 15:00:00,9.65,3.61
2023-01-02 16:00:00,4.09,3.77
2023-01-02 17:00:00,0.86,3.97
2023-01-02 18:00:00,0.0,4.05
2023-01-02 19:00:00,0.0,3.89
2023-01-02 20:00:00,0.14,3.9
2023-01-02 21:00:00,0.0,4.04
2023-01-02 22:00:00,0.0,3.94
2023-01-02 23:00:00,0.0,3.63
2023-01-03 00:00:00,0.0,3.19
2023-01-03 01:00:00,0.0,3.27
2023-01-03 02:00:00,0.0,3.35
2023-01-03 03:00:00,0.0,3.48
2023-01-03 04:00:00,0.0,3.42
2023-01-03 05:00:00,0.0,3.16
2023-01-03 06:00:00,0.0,4.6
2023-01-03 07:00:00,3.36,6.41
2023-01-03 08:00:00,8.56,6.04
2023-01-03 09:00:00,15.3,5.89
2023-01-03 10:00:00,21.4,5.94
2023-01-03 11:00:00,25.39,6.24
2023-01-03 12:00:00,25.92,6.27
2023-01-03 13:00:00,22.79,5.63
2023-01-03 14:00:00,16.6,4.73
